business_id,date,description,code
FA0004690,20160128,Standard not met: Approved thawing methods,26
FA0004785,20160126,Standard not met: Approved thawing methods,26
FA0004913,20151110,Standard not met: Approved thawing methods,26
FA0004968,20151030,Standard not met: Approved thawing methods,26
FA0005094,20151229,Standard not met: Approved thawing methods,26
FA0005143,20150924,Standard not met: Approved thawing methods,26
FA0005159,20160225,Standard not met: Approved thawing methods,26
FA0005162,20160128,Standard not met: Approved thawing methods,26
FA0005177,20160202,Standard not met: Approved thawing methods,26
FA0005387,20160125,Standard not met: Approved thawing methods,26
FA0005644,20160225,Standard not met: Approved thawing methods,26
FA0005770,20160225,Standard not met: Approved thawing methods,26
FA0005903,20160210,Standard not met: Approved thawing methods,26
FA0005914,20160121,Standard not met: Approved thawing methods,26
FA0005991,20160211,Standard not met: Approved thawing methods,26
FA0006068,20151214,Standard not met: Approved thawing methods,26
FA0006071,20151209,Standard not met: Approved thawing methods,26
FA0006081,20160301,Standard not met: Approved thawing methods,26
FA0006100,20160107,Standard not met: Approved thawing methods,26
FA0006107,20151210,Standard not met: Approved thawing methods,26
FA0006113,20151209,Standard not met: Approved thawing methods,26
FA0006122,20151216,Standard not met: Approved thawing methods,26
FA0006128,20151109,Standard not met: Approved thawing methods,26
FA0006139,20160217,Standard not met: Approved thawing methods,26
FA0006229,20151218,Standard not met: Approved thawing methods,26
FA0006248,20160217,Standard not met: Approved thawing methods,26
FA0006264,20160126,Standard not met: Approved thawing methods,26
FA0006274,20160217,Standard not met: Approved thawing methods,26
FA0006322,20160130,Standard not met: Approved thawing methods,26
FA0006354,20151113,Standard not met: Approved thawing methods,26
FA0006658,20160106,Standard not met: Approved thawing methods,26
FA0006840,20151229,Standard not met: Approved thawing methods,26
FA0006884,20160108,Standard not met: Approved thawing methods,26
FA0006884,20160108,Standard not met: Approved thawing methods,26
FA0006936,20160222,Standard not met: Approved thawing methods,26
FA0006942,20151211,Standard not met: Approved thawing methods,26
FA0006943,20160205,Standard not met: Approved thawing methods,26
FA0006955,20151116,Standard not met: Approved thawing methods,26
FA0007046,20160107,Standard not met: Approved thawing methods,26
FA0007054,20151119,Standard not met: Approved thawing methods,26
FA0007091,20160211,Standard not met: Approved thawing methods,26
FA0007091,20160211,Standard not met: Approved thawing methods,26
FA0007773,20151118,Standard not met: Approved thawing methods,26
FA0007809,20160208,Standard not met: Approved thawing methods,26
FA0007962,20160108,Standard not met: Approved thawing methods,26
FA0009068,20151201,Standard not met: Approved thawing methods,26
FA0012724,20160205,Standard not met: Approved thawing methods,26
FA0012818,20160204,Standard not met: Approved thawing methods,26
FA0013827,20151223,Standard not met: Approved thawing methods,26
FA0013907,20151215,Standard not met: Approved thawing methods,26
FA0013910,20151008,Standard not met: Approved thawing methods,26
FA0013910,20151211,Standard not met: Approved thawing methods,26
FA0013962,20151026,Standard not met: Approved thawing methods,26
FA0014063,20160217,Standard not met: Approved thawing methods,26
FA0014461,20160209,Standard not met: Approved thawing methods,26
FA0015404,20160208,Standard not met: Approved thawing methods,26
FA0015514,20160209,Standard not met: Approved thawing methods,26
FA0016262,20151124,Standard not met: Approved thawing methods,26
FA0016655,20151209,Standard not met: Approved thawing methods,26
FA0016876,20160119,Standard not met: Approved thawing methods,26
FA0016876,20160119,Standard not met: Approved thawing methods,26
FA0016999,20151015,Standard not met: Approved thawing methods,26
FA0017136,20151216,Standard not met: Approved thawing methods,26
FA0017503,20151109,Standard not met: Approved thawing methods,26
FA0017713,20151019,Standard not met: Approved thawing methods,26
FA0018413,20151130,Standard not met: Approved thawing methods,26
FA0018496,20151229,Standard not met: Approved thawing methods,26
FA0018586,20160204,Standard not met: Approved thawing methods,26
FA0018886,20160204,Standard not met: Approved thawing methods,26
FA0018962,20160205,Standard not met: Approved thawing methods,26
FA0019071,20160217,Standard not met: Approved thawing methods,26
FA0019096,20160128,Standard not met: Approved thawing methods,26
FA0019122,20160302,Standard not met: Approved thawing methods,26
FA0019277,20160108,Standard not met: Approved thawing methods,26
FA0019307,20160215,Standard not met: Approved thawing methods,26
FA0019934,20151110,Standard not met: Approved thawing methods,26
FA0019937,20160121,Standard not met: Approved thawing methods,26
FA0028658,20160216,Standard not met: Approved thawing methods,26
FA0029913,20151228,Standard not met: Approved thawing methods,26
FA0030489,20151208,Standard not met: Approved thawing methods,26
FA0031770,20151218,Standard not met: Approved thawing methods,26
FA0032120,20160125,Standard not met: Approved thawing methods,26
FA0032583,20160107,Standard not met: Approved thawing methods,26
FA0032691,20160112,Standard not met: Approved thawing methods,26
FA0033970,20160108,Standard not met: Approved thawing methods,26
FA0040632,20160107,Standard not met: Approved thawing methods,26
FA0040941,20151211,Standard not met: Approved thawing methods,26
FA0040945,20160216,Standard not met: Approved thawing methods,26
FA0041118,20151215,Standard not met: Approved thawing methods,26
FA0041320,20151229,Standard not met: Approved thawing methods,26
FA0041433,20160205,Standard not met: Approved thawing methods,26
FA0041925,20160217,Standard not met: Approved thawing methods,26
FA0042116,20151230,Standard not met: Approved thawing methods,26
FA0042319,20151102,Standard not met: Approved thawing methods,26
FA0042379,20151223,Standard not met: Approved thawing methods,26
FA0042441,20160209,Standard not met: Approved thawing methods,26
FA0042567,20160225,Standard not met: Approved thawing methods,26
FA0042804,20151105,Standard not met: Approved thawing methods,26
FA0043555,20160108,Standard not met: Approved thawing methods,26
FA0044490,20151228,Standard not met: Approved thawing methods,26
FA0044968,20160201,Standard not met: Approved thawing methods,26
FA0045031,20151228,Standard not met: Approved thawing methods,26
FA0045496,20160225,Standard not met: Approved thawing methods,26
FA0045650,20160217,Standard not met: Approved thawing methods,26
FA0045657,20160126,Standard not met: Approved thawing methods,26
FA0046095,20160302,Standard not met: Approved thawing methods,26
FA0046170,20160127,Standard not met: Approved thawing methods,26
FA0047272,20151215,Standard not met: Approved thawing methods,26
FA0048222,20151123,Standard not met: Approved thawing methods,26
FA0049642,20160212,Standard not met: Approved thawing methods,26
FA0050040,20160113,Standard not met: Approved thawing methods,26
FA0050360,20160204,Standard not met: Approved thawing methods,26
FA0000946,20151110,Standard not met: Approved ventilation and lighting,38
FA0001006,20151202,Standard not met: Approved ventilation and lighting,38
FA0001011,20151230,Standard not met: Approved ventilation and lighting,38
FA0001015,20151123,Standard not met: Approved ventilation and lighting,38
FA0001022,20151120,Standard not met: Approved ventilation and lighting,38
FA0001027,20160202,Standard not met: Approved ventilation and lighting,38
FA0001028,20160111,Standard not met: Approved ventilation and lighting,38
FA0001037,20160107,Standard not met: Approved ventilation and lighting,38
FA0001052,20151230,Standard not met: Approved ventilation and lighting,38
FA0001060,20151223,Standard not met: Approved ventilation and lighting,38
FA0001071,20151112,Standard not met: Approved ventilation and lighting,38
FA0001075,20151222,Standard not met: Approved ventilation and lighting,38
FA0001084,20151216,Standard not met: Approved ventilation and lighting,38
FA0001085,20160129,Standard not met: Approved ventilation and lighting,38
FA0001090,20151223,Standard not met: Approved ventilation and lighting,38
FA0001093,20160119,Standard not met: Approved ventilation and lighting,38
FA0001097,20151024,Standard not met: Approved ventilation and lighting,38
FA0001102,20150615,Standard not met: Approved ventilation and lighting,38
FA0001110,20160119,Standard not met: Approved ventilation and lighting,38
FA0001111,20160121,Standard not met: Approved ventilation and lighting,38
FA0001113,20160201,Standard not met: Approved ventilation and lighting,38
FA0001117,20160301,Standard not met: Approved ventilation and lighting,38
FA0001119,20160219,Standard not met: Approved ventilation and lighting,38
FA0001120,20160125,Standard not met: Approved ventilation and lighting,38
FA0001124,20160204,Standard not met: Approved ventilation and lighting,38
FA0001128,20140617,Standard not met: Approved ventilation and lighting,38
FA0001143,20160126,Standard not met: Approved ventilation and lighting,38
FA0001149,20160225,Standard not met: Approved ventilation and lighting,38
FA0001163,20160108,Standard not met: Approved ventilation and lighting,38
FA0001163,20160108,Standard not met: Approved ventilation and lighting,38
FA0001170,20151112,Standard not met: Approved ventilation and lighting,38
FA0001175,20150925,Standard not met: Approved ventilation and lighting,38
FA0001188,20160205,Standard not met: Approved ventilation and lighting,38
FA0001203,20151222,Standard not met: Approved ventilation and lighting,38
FA0001229,20160121,Standard not met: Approved ventilation and lighting,38
FA0001230,20151211,Standard not met: Approved ventilation and lighting,38
FA0001236,20160105,Standard not met: Approved ventilation and lighting,38
FA0001280,20160127,Standard not met: Approved ventilation and lighting,38
FA0001282,20151016,Standard not met: Approved ventilation and lighting,38
FA0001291,20160114,Standard not met: Approved ventilation and lighting,38
FA0001291,20160114,Standard not met: Approved ventilation and lighting,38
FA0001293,20160205,Standard not met: Approved ventilation and lighting,38
FA0001318,20160114,Standard not met: Approved ventilation and lighting,38
FA0001321,20150929,Standard not met: Approved ventilation and lighting,38
FA0001332,20151204,Standard not met: Approved ventilation and lighting,38
FA0001339,20160223,Standard not met: Approved ventilation and lighting,38
FA0001349,20160226,Standard not met: Approved ventilation and lighting,38
FA0001352,20151215,Standard not met: Approved ventilation and lighting,38
FA0001353,20151023,Standard not met: Approved ventilation and lighting,38
FA0001354,20160216,Standard not met: Approved ventilation and lighting,38
FA0001357,20151015,Standard not met: Approved ventilation and lighting,38
FA0001358,20151119,Standard not met: Approved ventilation and lighting,38
FA0001360,20151113,Standard not met: Approved ventilation and lighting,38
FA0001361,20151119,Standard not met: Approved ventilation and lighting,38
FA0001361,20151119,Standard not met: Approved ventilation and lighting,38
FA0001369,20160106,Standard not met: Approved ventilation and lighting,38
FA0001373,20160125,Standard not met: Approved ventilation and lighting,38
FA0001397,20160225,Standard not met: Approved ventilation and lighting,38
FA0001398,20160210,Standard not met: Approved ventilation and lighting,38
FA0001400,20160222,Standard not met: Approved ventilation and lighting,38
FA0001411,20160125,Standard not met: Approved ventilation and lighting,38
FA0001412,20160217,Standard not met: Approved ventilation and lighting,38
FA0001423,20160302,Standard not met: Approved ventilation and lighting,38
FA0001441,20160106,Standard not met: Approved ventilation and lighting,38
FA0001446,20151110,Standard not met: Approved ventilation and lighting,38
FA0001465,20160205,Standard not met: Approved ventilation and lighting,38
FA0001466,20160105,Standard not met: Approved ventilation and lighting,38
FA0001472,20151228,Standard not met: Approved ventilation and lighting,38
FA0001473,20151228,Standard not met: Approved ventilation and lighting,38
FA0001474,20160222,Standard not met: Approved ventilation and lighting,38
FA0001478,20151110,Standard not met: Approved ventilation and lighting,38
FA0001481,20151105,Standard not met: Approved ventilation and lighting,38
FA0001486,20160127,Standard not met: Approved ventilation and lighting,38
FA0001488,20160127,Standard not met: Approved ventilation and lighting,38
FA0001501,20151218,Standard not met: Approved ventilation and lighting,38
FA0001505,20160108,Standard not met: Approved ventilation and lighting,38
FA0001511,20151229,Standard not met: Approved ventilation and lighting,38
FA0001523,20160302,Standard not met: Approved ventilation and lighting,38
FA0001530,20151214,Standard not met: Approved ventilation and lighting,38
FA0001532,20151208,Standard not met: Approved ventilation and lighting,38
FA0001537,20151230,Standard not met: Approved ventilation and lighting,38
FA0001539,20151221,Standard not met: Approved ventilation and lighting,38
FA0001548,20160121,Standard not met: Approved ventilation and lighting,38
FA0001550,20160211,Standard not met: Approved ventilation and lighting,38
FA0001551,20160202,Standard not met: Approved ventilation and lighting,38
FA0001552,20160104,Standard not met: Approved ventilation and lighting,38
FA0001557,20151202,Standard not met: Approved ventilation and lighting,38
FA0001560,20151217,Standard not met: Approved ventilation and lighting,38
FA0001570,20151216,Standard not met: Approved ventilation and lighting,38
FA0001573,20160125,Standard not met: Approved ventilation and lighting,38
FA0001591,20151029,Standard not met: Approved ventilation and lighting,38
FA0001611,20160108,Standard not met: Approved ventilation and lighting,38
FA0001619,20160223,Standard not met: Approved ventilation and lighting,38
FA0001639,20151201,Standard not met: Approved ventilation and lighting,38
FA0001642,20151123,Standard not met: Approved ventilation and lighting,38
FA0001643,20160113,Standard not met: Approved ventilation and lighting,38
FA0001651,20160219,Standard not met: Approved ventilation and lighting,38
FA0001652,20151210,Standard not met: Approved ventilation and lighting,38
FA0001677,20160211,Standard not met: Approved ventilation and lighting,38
FA0001703,20160113,Standard not met: Approved ventilation and lighting,38
FA0001713,20160127,Standard not met: Approved ventilation and lighting,38
FA0001722,20160121,Standard not met: Approved ventilation and lighting,38
FA0001723,20151104,Standard not met: Approved ventilation and lighting,38
FA0001736,20150918,Standard not met: Approved ventilation and lighting,38
FA0001738,20151204,Standard not met: Approved ventilation and lighting,38
FA0001744,20151116,Standard not met: Approved ventilation and lighting,38
FA0001745,20160127,Standard not met: Approved ventilation and lighting,38
FA0001748,20160225,Standard not met: Approved ventilation and lighting,38
FA0001759,20160225,Standard not met: Approved ventilation and lighting,38
FA0001775,20151110,Standard not met: Approved ventilation and lighting,38
FA0001798,20151201,Standard not met: Approved ventilation and lighting,38
FA0001804,20160105,Standard not met: Approved ventilation and lighting,38
FA0001805,20151014,Standard not met: Approved ventilation and lighting,38
FA0001808,20160301,Standard not met: Approved ventilation and lighting,38
FA0001814,20151229,Standard not met: Approved ventilation and lighting,38
FA0001823,20151130,Standard not met: Approved ventilation and lighting,38
FA0001828,20151124,Standard not met: Approved ventilation and lighting,38
FA0001829,20151207,Standard not met: Approved ventilation and lighting,38
FA0001850,20151123,Standard not met: Approved ventilation and lighting,38
FA0001851,20151204,Standard not met: Approved ventilation and lighting,38
FA0001896,20151230,Standard not met: Approved ventilation and lighting,38
FA0001900,20151230,Standard not met: Approved ventilation and lighting,38
FA0001906,20151208,Standard not met: Approved ventilation and lighting,38
FA0001924,20150403,Standard not met: Approved ventilation and lighting,38
FA0001954,20160127,Standard not met: Approved ventilation and lighting,38
FA0001955,20160302,Standard not met: Approved ventilation and lighting,38
FA0001960,20151218,Standard not met: Approved ventilation and lighting,38
FA0001961,20151112,Standard not met: Approved ventilation and lighting,38
FA0001961,20151112,Standard not met: Approved ventilation and lighting,38
FA0001964,20151103,Standard not met: Approved ventilation and lighting,38
FA0001969,20160205,Standard not met: Approved ventilation and lighting,38
FA0001971,20160201,Standard not met: Approved ventilation and lighting,38
FA0001977,20160229,Standard not met: Approved ventilation and lighting,38
FA0001983,20160229,Standard not met: Approved ventilation and lighting,38
FA0001984,20160201,Standard not met: Approved ventilation and lighting,38
FA0001987,20160125,Standard not met: Approved ventilation and lighting,38
FA0001991,20151201,Standard not met: Approved ventilation and lighting,38
FA0001999,20160208,Standard not met: Approved ventilation and lighting,38
FA0002001,20151027,Standard not met: Approved ventilation and lighting,38
FA0002010,20160106,Standard not met: Approved ventilation and lighting,38
FA0002031,20150916,Standard not met: Approved ventilation and lighting,38
FA0002034,20160204,Standard not met: Approved ventilation and lighting,38
FA0002038,20160217,Standard not met: Approved ventilation and lighting,38
FA0002039,20160125,Standard not met: Approved ventilation and lighting,38
FA0002062,20160106,Standard not met: Approved ventilation and lighting,38
FA0002073,20160108,Standard not met: Approved ventilation and lighting,38
FA0002074,20160107,Standard not met: Approved ventilation and lighting,38
FA0002085,20160127,Standard not met: Approved ventilation and lighting,38
FA0002108,20160218,Standard not met: Approved ventilation and lighting,38
FA0002123,20151230,Standard not met: Approved ventilation and lighting,38
FA0002125,20160120,Standard not met: Approved ventilation and lighting,38
FA0002146,20151216,Standard not met: Approved ventilation and lighting,38
FA0002156,20160211,Standard not met: Approved ventilation and lighting,38
FA0002192,20151023,Standard not met: Approved ventilation and lighting,38
FA0002212,20151117,Standard not met: Approved ventilation and lighting,38
FA0002214,20160201,Standard not met: Approved ventilation and lighting,38
FA0002229,20151109,Standard not met: Approved ventilation and lighting,38
FA0002237,20160209,Standard not met: Approved ventilation and lighting,38
FA0002261,20160301,Standard not met: Approved ventilation and lighting,38
FA0002262,20151201,Standard not met: Approved ventilation and lighting,38
FA0002268,20150818,Standard not met: Approved ventilation and lighting,38
FA0002269,20151201,Standard not met: Approved ventilation and lighting,38
FA0002281,20160112,Standard not met: Approved ventilation and lighting,38
FA0002315,20151221,Standard not met: Approved ventilation and lighting,38
FA0002350,20160105,Standard not met: Approved ventilation and lighting,38
FA0002371,20160211,Standard not met: Approved ventilation and lighting,38
FA0002388,20160113,Standard not met: Approved ventilation and lighting,38
FA0002403,20160223,Standard not met: Approved ventilation and lighting,38
FA0002406,20151207,Standard not met: Approved ventilation and lighting,38
FA0002465,20150923,Standard not met: Approved ventilation and lighting,38
FA0002467,20151230,Standard not met: Approved ventilation and lighting,38
FA0002497,20151028,Standard not met: Approved ventilation and lighting,38
FA0002508,20160223,Standard not met: Approved ventilation and lighting,38
FA0002514,20160216,Standard not met: Approved ventilation and lighting,38
FA0002524,20160201,Standard not met: Approved ventilation and lighting,38
FA0002528,20160119,Standard not met: Approved ventilation and lighting,38
FA0002530,20151016,Standard not met: Approved ventilation and lighting,38
FA0002530,20160202,Standard not met: Approved ventilation and lighting,38
FA0002542,20160301,Standard not met: Approved ventilation and lighting,38
FA0002544,20160301,Standard not met: Approved ventilation and lighting,38
FA0002558,20151201,Standard not met: Approved ventilation and lighting,38
FA0002562,20151217,Standard not met: Approved ventilation and lighting,38
FA0002568,20150918,Standard not met: Approved ventilation and lighting,38
FA0002569,20151230,Standard not met: Approved ventilation and lighting,38
FA0002578,20160229,Standard not met: Approved ventilation and lighting,38
FA0002579,20151123,Standard not met: Approved ventilation and lighting,38
FA0002584,20151117,Standard not met: Approved ventilation and lighting,38
FA0002593,20160225,Standard not met: Approved ventilation and lighting,38
FA0002604,20160218,Standard not met: Approved ventilation and lighting,38
FA0002639,20160216,Standard not met: Approved ventilation and lighting,38
FA0002646,20160114,Standard not met: Approved ventilation and lighting,38
FA0002652,20160122,Standard not met: Approved ventilation and lighting,38
FA0002653,20151029,Standard not met: Approved ventilation and lighting,38
FA0002657,20160219,Standard not met: Approved ventilation and lighting,38
FA0002658,20151029,Standard not met: Approved ventilation and lighting,38
FA0002663,20160122,Standard not met: Approved ventilation and lighting,38
FA0002669,20160127,Standard not met: Approved ventilation and lighting,38
FA0002678,20160122,Standard not met: Approved ventilation and lighting,38
FA0002700,20150728,Standard not met: Approved ventilation and lighting,38
FA0002702,20151202,Standard not met: Approved ventilation and lighting,38
FA0002718,20160225,Standard not met: Approved ventilation and lighting,38
FA0002721,20160205,Standard not met: Approved ventilation and lighting,38
FA0002728,20160222,Standard not met: Approved ventilation and lighting,38
FA0002737,20151117,Standard not met: Approved ventilation and lighting,38
FA0002741,20151117,Standard not met: Approved ventilation and lighting,38
FA0002764,20151006,Standard not met: Approved ventilation and lighting,38
FA0002768,20151013,Standard not met: Approved ventilation and lighting,38
FA0002789,20151021,Standard not met: Approved ventilation and lighting,38
FA0002817,20160129,Standard not met: Approved ventilation and lighting,38
FA0002817,20151105,Standard not met: Approved ventilation and lighting,38
FA0002817,20160222,Standard not met: Approved ventilation and lighting,38
FA0002823,20160122,Standard not met: Approved ventilation and lighting,38
FA0002825,20151016,Standard not met: Approved ventilation and lighting,38
FA0002826,20160217,Standard not met: Approved ventilation and lighting,38
FA0002837,20151130,Standard not met: Approved ventilation and lighting,38
FA0002842,20151209,Standard not met: Approved ventilation and lighting,38
FA0002844,20160126,Standard not met: Approved ventilation and lighting,38
FA0002847,20160204,Standard not met: Approved ventilation and lighting,38
FA0002854,20160218,Standard not met: Approved ventilation and lighting,38
FA0002857,20160112,Standard not met: Approved ventilation and lighting,38
FA0002858,20151118,Standard not met: Approved ventilation and lighting,38
FA0002871,20160224,Standard not met: Approved ventilation and lighting,38
FA0002874,20160112,Standard not met: Approved ventilation and lighting,38
FA0002879,20160204,Standard not met: Approved ventilation and lighting,38
FA0002882,20160218,Standard not met: Approved ventilation and lighting,38
FA0002884,20160129,Standard not met: Approved ventilation and lighting,38
FA0002890,20151230,Standard not met: Approved ventilation and lighting,38
FA0002900,20160119,Standard not met: Approved ventilation and lighting,38
FA0002909,20160106,Standard not met: Approved ventilation and lighting,38
FA0002912,20160114,Standard not met: Approved ventilation and lighting,38
FA0002913,20151207,Standard not met: Approved ventilation and lighting,38
FA0002916,20151124,Standard not met: Approved ventilation and lighting,38
FA0002921,20160224,Standard not met: Approved ventilation and lighting,38
FA0002935,20151230,Standard not met: Approved ventilation and lighting,38
FA0002945,20151230,Standard not met: Approved ventilation and lighting,38
FA0002984,20160202,Standard not met: Approved ventilation and lighting,38
FA0002988,20160225,Standard not met: Approved ventilation and lighting,38
FA0002991,20151023,Standard not met: Approved ventilation and lighting,38
